title,metacritic_score,user_score
Crime After Crime,72,7.7
Prick Up Your Ears,72,7.4
Journeyman,72,7.4
In the House,72,7.4
City of Gold,72,7.4
Gran Torino,72,7.9
Rejoice and Shout,72,7.8
In Bloom,72,7.8
Berlin,72,7.9
God Grew Tired of Us,72,7.9
Always Shine,72,6.2
Seabiscuit,72,7.3
Kissing Jessica Stein,72,8.5
Aimee & Jaguar,72,7.4
A Secret,72,5.8
King Jack,72,6.0
3-Iron,72,8.2
Welcome to Sarajevo,72,6.0
Happy End,72,6.7
Earth,72,6.3
Burden,72,6.2
Steve Jobs: Man in the Machine,72,6.2
Aliyah,72,7.8
Strike,72,7.8
Princess Cyd,72,7.8
Big Fish & Begonia,72,7.3
Bone Tomahawk,72,7.3
Risk,72,7.9
Sunset Song,72,7.1
"Farewell, Herr Schwarz",72,7.5
Joshua: Teenager vs. Superpower,72,7.5
Zipper: Coney Island's Last Wild Ride,72,7.5
Phantasm,72,7.5
7 Boxes,72,8.6
Exhibition,72,5.4
Train to Busan,72,7.9
Superman Returns,72,6.5
Good Hair,72,6.9
Blindsight,72,7.5
Woman on the Beach,72,7.5
Czech Dream,72,7.5
Tibet: A Buddhist Trilogy,72,7.5
Pi,72,7.5
Dances with Wolves,72,8.7
Presumed Innocent,72,8.4
Wreck-It Ralph,72,8.4
First They Killed My Father,72,7.5
The Birdcage,72,7.6
ParaNorman,72,8.4
Let It Rain,72,4.8
The Rocket,72,8.2
Being Evel,72,7.1
The Internet's Own Boy: The Story of Aaron Swartz,72,7.9
Paul Williams Still Alive,72,8.0
Only the Brave,72,7.4
The Search for General Tso,72,8.7
Gore Vidal: The United States of Amnesia,72,8.7
The Tunnel,72,6.2
Breaking a Monster,72,0
Tell Them Who You Are,72,6.2
Hellboy,72,8.6
Betting on Zero,72,7.0
Violette,72,7.0
Radio Unnameable,72,7.0
Sleepless in Seattle,72,7.0
"Hail, Caesar!",72,5.9
When I Saw You,72,6.9
4,72,6.9
The Lure,72,7.1
Mistaken for Strangers,72,8.3
"Planes, Trains & Automobiles",72,8.7
Igby Goes Down,72,7.7
Safety Not Guaranteed,72,7.4
Christine,72,7.4
Bubot Niyar,72,7.7
Saturday Church,72,7.7
Star Trek Into Darkness,72,7.7
Dope,72,7.6
The Great Invisible,72,5.1
Pussy Riot: A Punk Prayer,72,5.1
Monkey Kingdom,72,7.4
Transit,72,6.5
Pieta,72,6.5
Lovers of Hate,72,8.7
Kiss Kiss Bang Bang,72,8.7
Author: The JT LeRoy Story,72,7.0
Blade of the Immortal,72,7.0
Finding Oscar,72,5.8
Every Last Child,72,5.8
Bellflower,72,5.8
Bob & Carol & Ted & Alice,72,8.5
50/50,72,8.5
Full Battle Rattle,72,6.7
War Horse,72,6.7
Super 8,72,7.3
Heaven Can Wait,72,7.3
The Untamed,72,7.3
The Aristocrats,72,6.4
Lake Tahoe,72,7.1
Easy A,72,7.1
The Eagle Huntress,72,6.5
Censored Voices,72,6.1
Army of One,72,7.9
The Mother,72,7.9
Zheng hun qi shi,72,6.0
The Oath,72,6.9
Priceless,72,6.9
Transsiberian,72,6.9
Armadillo,72,7.1
Charlotte Sometimes,72,8.0
Old Stone,72,8.2
Beauty Is Embarrassing,72,8.2
Cosmos,72,8.2
First Position,72,8.2
The Final Master,72,7.0
Pusher,72,7.4
Gimme Danger,72,9.2
The Life of Reilly,72,7.4
I Served the King of England,72,8.1
Gangs of New York,72,7.6
Barry,72,5.1
Slow West,72,6.6
Nowhere in Africa,72,7.9
The Rookie,72,8.2
A Beautiful Mind,72,8.1
At the Height of Summer,72,8.3
The Ballad of Ramblin' Jack,72,7.0
Felicia's Journey,72,7.0
The Rainmaker,72,7.9
Post Mortem,72,8.5
The Beatles: Eight Days a Week - The Touring Years,72,8.5
Your Sister's Sister,72,6.5
Inland Empire,72,7.3
It's All So Quiet,72,7.9
The Woodsman,72,7.9
Summertime,72,7.8
Shame,72,7.8
The Theory of Everything,72,7.8
Crazy Horse,72,7.9
Plagues and Pleasures on the Salton Sea,72,7.9
Akeelah and the Bee,72,7.9
Brick,72,7.6
Doctor Strange,72,8.2
Death and the Maiden,72,7.9
Filmworker,72,7.5
Men Go to Battle,72,7.5
The Heart Machine,72,7.5
The Lottery,72,7.5
Ghost Town,72,7.0
Pressure Cooker,72,8.0
Escapes,72,4.8
Tiny Furniture,72,4.8
Air Guitar Nation,72,8.1
Mostly Martha,72,8.2
The Closet,72,6.3
Journey to the Sun,72,4.0
The Thomas Crown Affair,72,4.0
Walk the Line,72,8.3
Six Degrees of Separation,72,0
When Marnie Was There,72,7.8
Pusher III: I'm the Angel of Death,72,7.9
Control,72,8.7
Terri,72,6.7
Dormant Beauty,72,8.0
Obit,72,8.0
Daylight,72,5.0
Amer,72,7.8
Nas: Time Is Illmatic,72,7.8
Match Point,72,8.4
Still Alice,72,7.9
Joan Didion: The Center Will Not Hold,72,5.8
A Space Program,72,5.8
Sound of Noise,72,5.8
Ethel & Ernest,72,8.1
Siddharth,72,8.1
Truly Madly Deeply,72,8.1
The Talent Given Us,72,7.8
Manifesto,72,7.8
My Entire High School Sinking Into the Sea,72,6.0
Strictly Ballroom,72,6.6
Surfwise,72,6.9
RBG,72,6.9
The Incredible Jessica James,72,6.9
Donald Cried,72,7.5
The Silence,72,6.1
Despicable Me,72,7.8
Jack Smith and the Destruction of Atlantis,72,8.5
Abduction: The Megumi Yokota Story,72,8.5
Isn't This a Time! A Tribute Concert for Harold Leventhal,72,8.5
Step Into Liquid,72,8.5
The Ice Storm,72,8.8
Great World of Sound,72,7.4
The Kill Team,72,7.7
Sweet Virginia,72,7.7
The Double Hour,72,7.3
12,72,7.2
The Falling,71,5.9
48 Hrs.,71,8.8
Stolen Seas,71,7.4
Undefeated,71,7.4
Tuya's Marriage,71,7.0
Sylvio,71,7.0
Fed Up,71,7.0
Harry Potter and the Order of the Phoenix,71,7.3
Smashed,71,7.9
Paradise Now,71,7.8
"Cry, the Beloved Country",71,5.5
What Doesn't Kill You,71,5.5
Manito,71,8.2
Secret Lives: Hidden Children and Their Rescuers During WWII,71,8.4
Marion Bridge,71,8.4
Swimming,71,8.6
Chasing Amy,71,8.6
The Raid 2,71,8.5
F/X,71,7.7
Land of the Dead,71,4.7
Inspector Bellamy,71,4.4
The Boss of It All,71,6.7
Bleak Moments,71,7.5
A Family Thing,71,7.5
Thirst Street,71,7.4
Being Elmo: A Puppeteer's Journey,71,7.4
Monument Ave.,71,5.8
Smiley Face,71,5.8
London Road,71,6.2
Wal-Mart: The High Cost of Low Price,71,8.6
Leap Year,71,7.6
Bugsy Malone,71,8.8
Married to the Mob,71,8.8
The Water Horse,71,7.5
A Monster with a Thousand Heads,71,8.4
Sisters in Law,71,7.2
Man Push Cart,71,7.2
Time of the Wolf,71,7.3
All the Real Girls,71,7.8
Tadpole,71,8.5
Spy Kids,71,8.5
Wonderland,71,8.4
Everyone Else,71,8.1
I Am Breathing,71,6.6
Cameraman: The Life and Work of Jack Cardiff,71,6.6
La Moustache,71,6.6
One Lucky Elephant,71,7.6
Jerichow,71,7.6
King Leopold's Ghost,71,7.6
Thank You for Smoking,71,7.6
Pete's Dragon,71,6.8
My Brother the Devil,71,6.7
Monkey Shines,71,6.7
Prevenge,71,6.7
Map of the Human Heart,71,7.4
Divines,71,7.4
Factotum,71,6.6
Intimate Strangers,71,7.6
Intolerable Cruelty,71,6.3
The Good Girl,71,7.4
Bowfinger,71,8.7
Tropic Thunder,71,7.3
Koch,71,0
Dead Again,66,8.9
"Pink Ribbons, Inc.",66,7.8
The Tiger Hunter,66,7.8
Crimson Tide,66,7.8
L.A. Story,66,6.8
Ever After,66,8.8
The Founder,66,7.3
"Rabin, the Last Day",66,6.8
The Thomas Crown Affair,66,6.8
The Angels' Share,66,6.8
Moonraker,66,8.8
The Bridges of Madison County,66,8.8
By Sidney Lumet,66,7.2
Frantic,66,7.2
"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",66,7.2
Spanking the Monkey,66,7.2
Seven Psychopaths,66,6.8
Small Town Murder Songs,66,6.8
Dog Days,66,8.0
Tuck Everlasting,66,8.7
Pecker,66,7.4
Steamboy,66,8.8
Phantom Boy,66,8.8
American Me,66,6.0
Blue Thunder,66,5.6
Elstree 1976,66,5.6
Fly Away,66,6.8
Boogie Man: The Lee Atwater Story,66,6.8
Megan Leavey,66,6.8
The Bling Ring,66,6.4
Dinosaur 13,66,6.5
Bronco Billy,66,5.3
Jealousy,66,5.3
After Love,66,4.8
Tales of the Night,66,4.8
The Midwife,66,7.4
Idiocracy,66,7.4
The Informant!,66,5.2
Damsel,66,6.4
The Two Faces of January,66,6.4
"A Woman, a Part",66,6.3
The Great Museum,66,6.3
Diggers,66,6.3
Tommy,66,7.0
The Danish Girl,66,7.0
The Woman with the 5 Elephants,66,7.0
Don Jon,66,7.0
Blood Father,66,6.6
Voices of Iraq,66,6.8
El bonaerense,66,6.8
So Close,66,7.1
The Eye,66,6.6
Bend It Like Beckham,66,7.6
Barking Dogs Never Bite,66,9.0
Fight Club,66,9.0
"Lock, Stock and Two Smoking Barrels",66,8.3
Colors,66,8.7
Infinite Football,66,8.9
The Prestige,66,8.9
Unforgivable,66,6.8
POM Wonderful Presents: The Greatest Movie Ever Sold,66,7.2
I.Q.,66,6.0
Kung Fu Killer,66,6.0
Something from Nothing: The Art of Rap,66,6.1
Truth,66,7.1
Disorder,66,7.2
Family Law,66,8.2
Shepard & Dark,66,6.9
Elegy,66,6.9
Norman Lear: Just Another Version of You,66,7.6
Cloudy with a Chance of Meatballs,66,7.6
October Country,66,6.7
In Fear,66,6.7
Carancho,66,7.7
The Hip Hop Project,66,7.8
SherryBaby,66,7.8
Dark City,66,8.4
Landline,66,6.5
Stardust,66,8.7
The Road Movie,66,6.0
The Reagan Show,66,6.0
Wedding Doll,66,6.0
The Monastery: Mr. Vig and the Nun,66,6.5
Talladega Nights: The Ballad of Ricky Bobby,66,6.5
Tattoo,66,4.0
I Am Trying to Break Your Heart,66,4.0
Margarita Happy Hour,66,8.0
Trembling Before G-d,66,7.2
Valley Girl,66,7.7
Cheech and Chong's Next Movie,66,7.7
We Don't Live Here Anymore,66,7.7
American Teen,66,7.3
Byzantium,66,7.1
Slack Bay,66,7.4
Jackass Number Two,66,7.4
Margot at the Wedding,66,6.1
Advanced Style,66,6.4
Pelican Dreams,66,6.4
Winter in Wartime,66,7.5
Wish Me Away,66,0
Rubber,59,6.1
Day Watch,59,6.7
We Are Wizards,59,5.1
Valley of Love,59,5.1
"I, Robot",59,8.2
Barbershop 2: Back in Business,59,5.7
Madame Satã,59,5.5
The Shape of Things,59,8.8
Naqoyqatsi,59,6.4
The Children of the Century,59,7.9
Anastasia,59,7.9
Wall Street: Money Never Sleeps,59,5.8
Detroit Unleaded,59,6.3
Voyeur,59,6.3
Heights,59,5.9
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,59,5.1
Miss You Already,59,7.5
The Whistleblower,59,7.4
More Than a Game,59,8.1
The Banishment,59,6.5
99%: The Occupy Wall Street Collaborative Film,59,6.5
The Outrageous Sophie Tucker,59,6.5
Learning to Drive,59,6.5
If You Build It,59,5.9
Paranormal Activity 3,59,5.9
"My Son, My Son, What Have Ye Done",59,5.9
"Definitely, Maybe",59,7.3
Scent of a Woman,59,8.7
Bang Rajan,59,8.2
Les amants criminels,59,6.5
The Adventures of Elmo in Grouchland,59,6.5
Clash of the Titans,59,7.3
Magic Trip,59,7.3
Little Lili,59,7.3
Handsome Harry,59,7.3
What If,59,7.3
Diamonds Are Forever,59,6.6
Dreamer: Inspired by a True Story,59,6.6
Beautiful Losers,59,6.8
Music and Lyrics,59,8.2
Unfriended,59,5.4
American Swing,59,8.3
Sharkwater,59,7.6
This Is 40,59,5.8
Nanny McPhee,59,6.1
Wimbledon,59,8.5
Onegin,59,7.5
The Ant Bully,59,5.3
The First Saturday in May,58,6.5
Salmon Fishing in the Yemen,58,6.5
The Look,58,6.0
Deepsea Challenge 3D,58,6.0
Viva,58,6.2
Follow Me: The Yoni Netanyahu Story,58,6.2
Night Watch: Nochnoi Dozor,58,6.2
OSS 117 - Lost in Rio,58,7.6
Complete Unknown,58,6.4
A Bottle in the Gaza Sea (Une bouteille à la mer),58,5.9
Where Soldiers Come From,58,5.9
Back to Burgundy,58,5.9
Jimmy Carter Man from Plains,58,5.9
The Voices,58,7.1
Free Men,58,8.5
...and justice for all.,58,6.6
Beuys,58,6.6
Jumanji: Welcome to the Jungle,58,6.6
My Sister Maria,58,6.1
NASCAR: The IMAX Experience,58,6.1
Pipe Dream,58,4.8
The Triumph of Love,58,4.8
God Help the Girl,58,7.0
Wildling,58,6.3
Strike a Pose,58,5.6
The Fast and the Furious,58,7.8
Amira & Sam,58,7.9
Norwegian Wood,58,7.2
Baskin,58,5.9
To the Wonder,58,7.8
Fame,58,8.0
Steep,58,8.0
Hitch,58,8.3
Tokyo Tribe,58,5.2
Zero Bridge,58,7.6
"The Prize Winner of Defiance, Ohio",58,7.6
Before I Fall,58,6.4
Life in a Day,58,7.3
Dolphin Tale 2,58,5.3
The Rocky Horror Picture Show,58,8.1
August: Osage County,58,7.1
It Happened in L.A.,58,7.1
Troubadours,58,7.1
The Wisdom of Crocodiles,58,7.1
The Mist,58,7.0
Jug Face,58,6.0
X-Men: The Last Stand,58,6.0
Adam Resurrected,58,5.4
Night Falls on Manhattan,58,3.5
Jarhead,58,7.1
Cosmopolis,58,5.3
Acts of Worship,58,0
Wrong,58,5.9
Snowden,58,7.1
Hello Lonesome,58,8.0
Lawless,58,8.0
Look & See: A Portrait of Wendell Berry,58,8.6
Kid-Thing,58,8.6
Love and Other Catastrophes,58,8.6
Brothers,58,8.6
20 Centimeters,58,7.3
A Hologram for the King,58,5.7
Point Break,58,8.2
Victoria and Abdul,58,5.8
Police Beat,58,6.8
The First Wives Club,58,6.8
Penance,58,6.0
Prime,58,6.4
The Rock,58,8.7
Jimmy P.,58,5.7
Rising from Ashes,58,4.5
I Am Chris Farley,58,4.5
Roving Mars,58,6.6
Risk/Reward,58,8.3
Francis Ford Coppola Presents: The Legend of Suriyothai,58,8.0
Ziggy Stardust and the Spiders from Mars,58,7.3
ZigZag,58,4.4
Tortilla Soup,58,6.8
The Legend of 1900,58,8.6
Ask the Dust,58,7.9
Licence to Kill,58,6.8
First Snow,58,7.0
Somebody Up There Likes Me,58,8.0
Ramen Heads,58,8.0
The Hobbit: An Unexpected Journey,58,8.0
Southbound,58,5.8
The Finest Hours,58,6.6
Shrek the Third,58,6.5
Somm,58,7.8
Aurora Borealis,58,6.5
The Trust,58,5.1
Sharky's Machine,58,8.5
Green Card,58,8.5
J.S.A.: Joint Security Area,58,7.4
The Tree,58,6.5
City of Ember,58,6.5
The Night Before,58,6.3
Ocean's Twelve,58,7.0
Forget Baghdad: Jews and Arabs - The Iraqi Connection,58,1.0
May,58,1.0
Burning Man: The Burning Sensation,58,6.3
Undisputed,58,6.3
Kiss of the Dragon,58,8.7
American Pie,58,4.2
The Myth of Fingerprints,58,8.3
Star Wars: Episode VI - Return of the Jedi,58,8.3
Freakonomics,58,5.8
Away We Go,58,6.8
Heartless,58,5.8
Fading Gigolo,58,5.9
Escape from Tomorrow,58,5.1
The Greasy Strangler,58,5.3
Glory Road,58,7.9
Gemma Bovery,58,6.2
9 to 5,58,7.2
Flash Gordon,58,7.2
No Place on Earth,58,6.8
Papillon,58,7.0
Low Down,58,7.0
A Royal Night Out,58,6.2
Everything Is Illuminated,58,7.9
Stone,58,6.1
Emile,58,6.8
Felon,58,7.7
The Invention of Lying,58,5.8
Free Radicals,58,7.5
The Holy Land,58,7.5
The Yards,58,8.2
The Pope of Greenwich Village,58,5.9
Benny & Joon,57,5.9
The Lords of Salem,57,5.9
Renaissance,57,8.2
Wayne's World,57,8.4
All Good Things,57,7.9
One More Time,57,4.5
Crank,57,4.5
Special,57,8.7
Keeping Up with the Steins,57,6.1
The Cured,57,6.9
It's a Disaster,57,6.9
Chelsea on the Rocks,57,6.5
Flawless,57,6.5
Terraferma,57,6.7
Eddie: The Sleepwalking Cannibal,57,6.7
Daybreakers,57,6.7
Trishna,57,6.0
Sleeping Beauty,57,4.6
Lila Says,57,7.8
R100,57,5.3
Severe Clear,57,7.8
Indiana Jones and the Temple of Doom,57,7.8
Pulling Strings,57,0
Nothing Like the Holidays,50,8.0
My Name Is Khan,50,8.6
Murder by Numbers,50,7.3
SLC Punk!,50,8.7
A Perfect Murder,50,8.6
Pirates of the Caribbean: At World's End,50,6.2
Madea Goes to Jail,50,4.9
How About You ...,50,8.6
Mr. Mom,50,8.6
The Stoning of Soraya M.,50,8.6
Trash,50,6.6
Therapy for a Vampire,50,5.3
Fur: An Imaginary Portrait of Diane Arbus,50,5.3
The Campaign,50,6.0
Newness,50,7.3
A Kind of Murder,50,5.7
Letters to Juliet,50,6.2
Garage Days,50,4.1
Storytelling,50,7.2
The Island,50,8.6
Lottery Ticket,50,5.6
The Ten,50,6.7
Look,50,4.3
Child of God,50,4.9
My Super Ex-Girlfriend,50,8.7
Step Up 2: The Streets,50,7.3
Welcome to the Rileys,50,8.5
Prince of Darkness,50,8.8
As I Lay Dying,50,6.5
Lovely Molly,50,6.5
Twelve Thirty,50,5.6
Runaway,50,5.6
Straight-Jacket,50,5.6
Home on the Range,50,5.6
Jim Brown: All American,50,5.9
Deterrence,50,6.0
Poseidon,50,6.0
Now You See Me,50,7.0
The Education of Charlie Banks,50,6.8
The Other Boleyn Girl,50,6.4
Operation Chromite,50,5.6
Prince of Persia: The Sands of Time,50,7.2
Dark Skies,50,7.3
28 Hotel Rooms,50,5.7
Bel Borba Aqui,50,4.0
Race You to the Bottom,50,4.0
Top Gun,50,7.9
Elles,50,5.3
