Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
twilight tuesdays: eclipse,pg13,,"dakota fanning, kristen stewart, robert pattinson",special events,11/15/2011 (tue),david slade,fthm,fathom events,,,english,,,Q4 2011,,,melissa rosenberg,0,0,0,0,0,0,0,0,0,0
father figures,r,,"ed helms, glenn close, j.k. simmons, june squibb, katt williams, owen wilson, terry bradshaw, ving rhames",comedy,12/22/2017,lawrence sher,wb,warner bros.,2018,,english,"ali bell, andrew kosove, broderick johnson, ivan reitman, tom pollock","alcon entertainment, dmg entertainment, montecito picture company",Q4 2017,quad,scope,justin malen,"17,501,244",102,"2,902","2,902","9,063,922","1,370,735","1,133","3,287,451","2,902",113
swinging with the finkels,r,,"jerry stiller, jonathan silverman, mandy moore, martin freeman, melissa george","romantic comedy, foreign",8/26/2011,jonathan newman,free,freestyle releasing,2012,,english,deepak nayar,,Q3 2011,,,jonathan newman,0,312,0,0,0,0,0,0,0,0
"cokeville miracle, the",pg13,,"caitlin e.j. meyer, jasen wade, mason d. davis, nathan stephens, sarah kent, shawn stevens",drama,6/5/2015,t.c. christensen,exl,excel entertainment,2015,,english,"ron tanner, t.c. christensen",,Q2 2015,dolby srd,"flat, scope",t.c. christensen,0,95,0,0,0,0,0,0,0,94
ava's possessions,r,,"alysia reiner, carol kane, dan fogler, deborah rush, jemima kirke, lou taylor pucci, louisa krause, whitney able, william sadler, zachary booth","horror, suspense",03/03/2016 (thu),jordan galland,orirl,orion releasing,2016,,english,"carlos velazquez, douglas weiser, jordan galland, maren olson",,Q1 2016,,,jordan galland,"1,173",33,0,0,0,0,0,0,0,89
fuel,nr,,,"documentary, war",11/14/2008,joshua tickell,intent,intention media,2010,,english,"dale 'chip' rosenbloom, daniel assael, darius fisher, greg reitman, rebecca harrell",,Q4 2008,stereo,flat,johnny o'hara,"174,255",585,1,4,"5,549","1,827","4,915","4,915",1,115
reach for me,nr,,"adrienne barbeau, alfre woodard, charlene blaine, don agronsky, johnny whitworth, levar burton, seymour cassel","comedy, drama",12/18/2009,levar burton,ind,independent,2011,,english,"charlene blaine, mark wolfe, susan r. rodgers",,Q4 2009,,,michael adams,0,634,0,0,0,0,0,0,0,0
"lifeguard, the",r,,"alex shaffer, ally hydeman, amy madigan, david lambert, john finn, joshua harto, kristen bell, lisa ann goldsmith, mamie gummer, martin starr, paulie litt, sendhil ramamurthy","comedy, drama",8/30/2013,liz w. garcia,smf,screen media films,2013,,english,liz w. garcia,,Q3 2013,dolby srd,flat,liz w. garcia,0,39,15,15,0,0,0,0,15,90
smothered,nr,,"bill moseley, brea grant, dane rhodes, kane hodder, malcolm danare, michael berryman, r.a. mihailoff","horror, suspense",4/8/2016,john schneider,idc,indican pictures,,,english,doug blake,,Q2 2016,dts,flat,john schneider,0,0,7,7,0,0,0,0,7,96
grey lady,r,,"amy madigan, eric dane, john shea, laila robins, natalie zea, rebecca gayheart","suspense, romance",4/28/2017,john shea,ind,independent,2017,,english,"armyan bernstein, john shea, susan ellis",,Q2 2017,dolby srd,flat,john shea,0,60,25,25,0,0,0,0,25,110
"lion of judah, the",pg,,"ernest borgnine, georgina cordova, leon clingman, michael madsen","animation, family",6/3/2011,deryck broom,rmtn,rocky mountain pictures,2012,,english,"jacqui cunningham, phil cunningham",,Q2 2011,stereo,"3d, digital, scope",brent dawes,0,298,81,81,0,0,0,0,81,87
detachment,nr,,"adrien brody, bryan cranston, christina hendricks, james caan, lucy liu, william petersen",drama,3/16/2012,tony kaye,trbca,tribeca film,2012,,english,"austin stark, benji kohn, bingo gubelmann, carl lund, chris papavasiliou, greg shapiro",,Q1 2012,,,carl lund,"72,689",186,2,15,"14,619",0,"5,370","10,739",2,100
midsummer in newtown,nr,,,documentary,1/27/2017,lloyd kramer,ind,independent,,,english,"braden cleveland bergan, tom yellin",,Q1 2017,dolby srd,scope,lloyd kramer,0,0,3,3,0,0,0,0,3,81
district 9,r,,"=""andre odendaal, david james, jason cope, jed brophy, johan van schoor, louis minnaar, mandla gaduka, marian hooman, melt sieberhagen, nathalie boltt, nick blake, nick boraine, robert hobbs, sharlto copley, stella steenkamp, sylvaine strike, tim gordon, ","action, science fiction, suspense",8/14/2009,neill blomkamp,sny,sony,2009,,english,peter jackson,"qed international, wingnut films, wintergreen productions",Q3 2009,quad,flat,"neill blomkamp, terri tatchell","115,646,235",137,"3,049","3,180","54,590,771","14,163,902","12,251","37,354,308","3,049",113
cowboys & aliens,pg13,,"=""abigail spencer, adam beach, ana de la reguera, brendan wayne, brian duffy, buck taylor, chris browning, clancy brown, cooper taylor, daniel craig, gavin grazer, harrison ford, keith carradine, matthew taylor, noah ringer, olivia wilde, paul dano, sam r","action, science fiction, suspense, western",7/29/2011,jon favreau,uni,universal,2011,,english,"alex kurtzman, brian grazer, damon lindelof, roberto orci, ron howard, scott mitchell rosenberg, steven spielberg","dreamworks skg, imagine entertainment, kurtzman/orci, platinum studios, relativity media, reliance entertainment",Q3 2011,quad,scope,"alex kurtzman, roberto orci","100,368,560",130,"3,750","3,754","51,620,065","13,087,485","9,715","36,431,290","3,750",118
in a world...,r,,"alexandra holden, cameron diaz, demetri martin, fred melamed, geena davis, ken marino, lake bell, michaela watkins, nick offerman, rob corddry, stephanie allynne",comedy,8/9/2013,lake bell,rsa,roadside attractions,2014,,english,"eddie vaisman, jett steiger, lake bell, mark roberts",,Q3 2013,dolby srd,scope,lake bell,"2,963,902",165,3,144,"103,557","21,754","23,514","70,541",3,93
as it is in heaven,nr,,"abi van andel, chris nelson, john lina, luke beavers, shannon baker",drama,7/11/2014,joshua overbay,ind,independent,,,english,,,Q3 2014,stereo,digital,,"10,096",0,1,1,0,0,0,0,1,87
city of dead men,nr,,"ana maria perez, diego boneta, jackson rathbone, maria mesa","suspense, horror",12/16/2016,kirk sullivan,grav,gravitas ventures,2017,,english,"alejo arango, brad furman, laura gomez vargas",contento films,Q4 2016,,,andrew poston,0,81,10,10,0,0,0,0,10,87
"a-team, the",pg13,,"bradley cooper, c. ernst harth, dirk benedict, gerald mcraney, jessica biel, liam neeson, maury sterling, omari hardwick, patrick wilson, quinton 'rampage' jackson, sharlto copley, terry chen","action, adventure, comedy",6/11/2010,joe carnahan,fox,20th century fox,2010,,english,"iain smith, jules daly, ridley scott, spike seldin, stephen j. cannell, tony scott","dune entertainment, scott free productions, stephen j. cannell productions",Q2 2010,quad,scope,"joe carnahan, skip woods","77,222,099",186,"3,535","3,544","36,022,270","9,660,560","7,262","25,669,455","3,535",119
armored,pg13,,"amaury nolasco, andrew fiscella, columbus short, jean reno, laurence fishburne, matt dillon, milo ventimiglia, skeet ulrich","suspense, drama",12/4/2009,nimrod antal,sny,sony,2010,,english,"dan farah, joshua donen, sam raimi","buckaroo entertainment, farah films & management, screen gems",Q4 2009,"dts, dolby srd, sdds","digital, scope",james v. simpson,"15,988,876",102,"1,915","1,919","8,246,521","2,393,949","3,400","6,511,128","1,915",87
kurt cobain about a son,nr,,kurt cobain,documentary,10/03/2007 (wed),a.j. schnack,balc,balcony releasing,2008,,english,,,Q4 2007,dolby srd,flat,,"87,016",139,1,6,"19,045",0,"5,374","10,749",2,96
"boys: the sherman brothers' story, the",pg,,,documentary,5/22/2009,"gregory v. sherman, jeff sherman",dis,disney,2010,,english,"ben stiller, david permut, gregory v. sherman, jeff sherman",red hour films,Q2 2009,quad,flat,,"55,513",557,5,5,"25,356","3,600","2,926","14,632",5,102
toys in the attic,pg,,"cary elwes, douglas urbanski, emily hahn, forest whitaker, joan cusack, marcello tubert, vivian schilling","animation, family",9/7/2012,"jiri barta, vivian schilling",hnn,hannover house,2013,,english,"jiri holan, milos smidmajer",,Q3 2012,dolby sr,digital,,"64,918",151,27,27,"26,418","3,952",738,"19,913",27,80
"vault, the",nr,,"clifton collins jr., francesca eastwood, james franco, jeff gum, keith loneker, qorianka kilcher, scott haze, taryn manning","horror, suspense",9/1/2017,dan bush,frr,filmrise releasing,2017,,english,"alan pao, luke daniels, tom butterfield","content media, psychopia pictures, redwire pictures",Q3 2017,dolby srd,scope,"conal byrne, dan bush","5,728",46,11,11,"5,728",0,392,"4,308",11,91
"xaviera hollander, the happy hooker",nr,,,documentary,1/29/2010,robert dunlap,ind,independent,,,english,"john patrick patti, robert dunlap",,Q1 2010,,flat,robert dunlap,0,0,0,0,0,0,0,0,0,68
trade of innocents,pg13,,"dermot mulroney, john billingsley, mira sorvino, trieu tran",suspense,10/5/2012,christopher bessette,mont,monterey media,2012,,english,,,Q4 2012,,digital,,"15,091",67,1,3,588,0,588,588,1,91
"time being, the",nr,,"frank langella, sarah paulson, wes bentley",drama,7/26/2013,nenad cicin-sain,trbca,tribeca film,2014,,english,richard gladstein,,Q3 2013,dolby srd,flat,"nenad cicin-sain, richard gladstein","5,274",228,2,2,"3,701",0,0,0,2,88
escapes,nr,,hampton fancher,documentary,07/26/2017 (wed),michael almereyda,grass,grasshopper film,,,english,"david brendel, michael almereyda, wes andersen",,Q3 2017,dolby srd,flat,michael almereyda,"17,774",0,1,4,"3,336",0,"1,339","1,339",1,89
welcome to lazytown,g,,,family,11/03/2012 (sat),,kid,kidtoon films,,,english,,,Q4 2012,,,,0,0,0,0,0,0,0,0,0,0
man from u.n.c.l.e.,pg13,,"alicia vikander, armie hammer, elizabeth debicki, henry cavill, hugh grant, jared harris, luca calvani","action, drama, foreign",8/14/2015,guy ritchie,wb,warner bros.,2015,,english,"david dobkin, guy ritchie, jeff kleeman, john davis, lionel wigram","big kid pictures, davis entertainment, wigram productions",Q3 2015,quad,"imax, scope","guy ritchie, lionel wigram","45,445,109",95,"3,638","3,673","19,216,840","4,804,022","3,689","13,421,036","3,638",116
willow creek,,,"alexie gilmore, bryce johnson","horror, suspense",6/6/2014,bobcat goldthwait,ind,independent,2014,,english,,,Q2 2014,,,bobcat goldthwait,0,95,0,0,0,0,0,0,0,80
"electric boogaloo: the wild, untold...",r,,,"documentary, foreign",09/17/2015 (thu),mark hartley,wb,warner bros.,,,english,"brett ratner, veronica fury","film victoria, ratpac entertainment, screen queensland",Q3 2015,,flat,mark hartley,0,0,15,15,0,0,0,0,0,106
heavy metal in baghdad,nr,,,documentary,5/23/2008,"eddy moretti, suroosh alvi",aaa,arts alliance america,2008,,english,monica hampton,,Q2 2008,,,,"4,070",25,2,2,"4,070",0,"1,006","2,012",2,0
john carpenter's halloween,nr,,,special events,10/29/2015 (thu),john carpenter,fthm,fathom events,,,english,,,Q4 2015,,,,0,0,0,0,0,0,0,0,0,110
love me true,r,,"andrew gude, connor cannon, eric roberts, kaleigh macchio, mehtap altunok, william mcgovern",comedy,8/12/2016,kirby voss,idc,indican pictures,2016,,english,felecia stannard,,Q3 2016,dts,scope,kirby voss,"20,100",130,2,4,"7,387",0,0,0,2,85
don't worry baby,nr,,"=""amirah vann, amiya steed, britt lower, christopher mcdonald, dana marcolina, dreama walker, franck raharinosy, john magaro, kaye tuckerman, lawrence cioppa, maricruz rodriguez, mckean rand, phil burke, philip neel, rainn williams, stephen rowe, talia ba","comedy, drama",7/22/2016,julian branciforte,orirl,orion releasing,,,english,"brendan mchugh, garrett p. fennelly, jamie krasnoff, jean-raphael ambron, nick shore, ross hilary, sam harper, simon langton, thomas kaier",,Q3 2016,dolby srd,flat,julian branciforte,"3,322",0,0,0,0,0,0,0,0,88
ned rifle,nr,,"aubrey plaza, james urbaniak, liam aiken, martin donovan, parker posey, thomas jay ryan",drama,04/01/2015 (wed),hal hartley,ind,independent,,,english,"hal hartley, matthew myers",,Q2 2015,,,hal hartley,0,0,1,4,0,0,0,0,4,85
speed-dating,r,,"chico benymon, holly robinson peete, leonard armond robinson, mekita faiye, nick chinlund, vanessa simmons, wesley jonathan",comedy,6/4/2010,"joseph a. elmore, jr.",rckst,rockstone releasing,2011,,english,mekita faiye,,Q2 2010,dolby sr,flat,"joseph a. elmore, jr.","3,394",249,1,8,"3,394",0,"3,394","3,394",1,98
after dark films' horrorfest iv,r,,,"horror, suspense",1/29/2010,,adf,after dark films,,,english,,,Q1 2010,,,,0,0,39,39,0,0,0,0,39,0
"ghastly love of johnny x, the",nr,,"creed bratton, de anna joy brooks, kate maberly, kevin mccarthy, paul williams, reggie bannister, will keenan","science fiction, comedy, musical",10/26/2012,paul bunnell,snd,strand releasing,2013,,english,"john duffy, paul bunnell",,Q4 2012,dolby srd,scope,,"2,436",235,1,2,117,0,86,86,1,106
"forbidden kingdom, the",pg13,,"jackie chan, jet li, juana collignon, michael angarano, morgan benoit","adventure, fantasy",4/18/2008,rob minkoff,lgf,lionsgate,2008,,english,"casey silver, ryan kavanaugh","casey silver productions, huayi brothers media, relativity media",Q2 2008,quad,scope,,"52,075,270",143,"3,151","3,151","27,025,134","7,743,521","6,792","21,401,121","3,151",113
"red machine, the",,,"donal thoms-cappello, lee perkins, meg brogan",drama,10/1/2010,"alec boehm, stephanie argy",ind,independent,,,english,"alec boehm, ken cortland, stephanie argy",,Q4 2010,,,,0,0,0,0,0,0,0,0,0,0
"devil inside, the",r,,"bonnie morgan, brian johnson, evan helmuth, fernanda andrade, ionut grama, preston james hillier, simon quarterman, suzan crowley","horror, suspense",1/6/2012,william brent bell,par,paramount,2012,,english,"matthew peterman, morris paulson","insurge pictures, room 101",Q1 2012,quad,flat,"matthew peterman, william brent bell","53,261,944",130,"2,285","2,551","38,346,847","16,756,764","14,763","33,732,515","2,285",83
life partners,r,,"adam brody, gillian jacobs, leighton meester, mark feurstein",romantic comedy,12/5/2014,susanna fogel,mag,magnolia pictures,2015,,english,jordana mollick,,Q4 2014,dolby srd,scope,"joni lefkowitz, susanna fogel","8,265",88,2,3,"3,967",0,"1,332","2,665",2,95
"girl in the photographs, the",r,,"christy carlson romano, claudia lee, kal penn, katharine isabelle, kenny wormald, luke baines","horror, suspense",4/1/2016,nick simon,ind,independent,2016,,english,"andrea chung, thomas mahoney",,Q2 2016,dolby srd,digital,"nick simon, osgood perkins, robert morast",0,88,0,0,0,0,0,0,0,98
snowpiercer,r,,"adnan haskovic, ah-sung ko, alison pill, chris evans, ed harris, ewen bremner, jamie bell, john hurt, kang-ho song, kenny doughty, luke pasqualino, octavia spencer, steve park, tilda swinton, tomas lemarquis","science fiction, action, drama, foreign",6/27/2014,joon-ho bong,rad,radius-twc,2014,,english,"park chan-wook, steven nam, tae-sung jeong",,Q2 2014,,,"joon-ho bong, kelly masterson","4,563,649",116,8,356,"501,518","45,852","21,398","171,187",8,126
"dog problem, the",r,,"don cheadle, giovanni ribisi, joanna krupa, kevin corrigan, melissa keller, mena suvari, scott caan",comedy,4/27/2007,scott caan,thf,thinkfilm,2007,,english,"jonah smith, palmer west",thousand words,Q2 2007,"dolby srd, stereo",flat,,"1,344",123,2,2,"1,344",0,457,914,2,88
behind the burly q,nr,,,documentary,4/23/2010,leslie zemeckis,fsr,first run,,,english,"jackie levine, leslie zemeckis, sheri hellard",,Q2 2010,,,leslie zemeckis,"23,889",0,1,2,"5,997",0,"3,958","3,958",1,98
"providence effect, the",pg,,,documentary,9/25/2009,rollin binzer,slcr,slowhand cinema releasing,,,english,"rollin binzer, tom hurvis",,Q3 2009,,,,0,0,14,14,0,0,0,0,14,92
grateful dead movie (40th anniversary),pg13,,,special events,04/20/2017 (thu),event director,fthm,fathom events,,,english,,,Q2 2017,dolby srd,digital,,"212,252",0,510,510,0,"212,252",0,0,0,165
innocence (2014),pg13,,"graham phillips, kelly reilly, linus roche, sophie curtis",suspense,9/5/2014,hilary brougher,jsc,jsc entertainment,2015,,english,,,Q3 2014,dolby sr,flat,"hilary brougher, tristine skyler","294,039",179,490,490,"289,613",0,480,"235,224",490,94
to be heard,nr,,,documentary,10/12/2011 (wed),"amy sultan, edwin martinez, roland legiardi-laura, stewart bird & deborah shaffer",ind,independent,2013,,english,,,Q4 2011,,,,0,489,1,1,0,0,0,0,0,87
ufc 143 live in 3d: condit vs diaz,nr,,,special events,02/04/2012 (sat),event director,fthm,fathom events,,,english,,,Q1 2012,,3d,,0,0,0,0,0,0,0,0,0,180
endless love,pg13,,"alex pettyfer, bruce greenwood, dayo okeniyi, emma rigby, gabriella wilde, joely richardson, rhys wakefield, robert patrick","drama, romance",2/14/2014,shana feste,uni,universal,2014,,english,"josh schwartz, lisbeth rowinski, pamela abdy, scott stuber, stephanie savage","bluegrass films, fake empire",Q1 2014,quad,,"joshua safran, shana feste","23,438,250",102,"2,896","2,896","15,841,255","7,428,245","4,595","13,307,125","2,896",103
chris brown: welcome to my life,r,,,special events,06/08/2017 (thu),event director,fthm,fathom events,,,english,,,Q2 2017,dolby srd,digital,,"791,063",0,416,416,0,0,0,0,0,95
kickboxer: retaliation,r,,"alain moussi, christopher lambert, hafpor julius bjornsson, jean-claude van damme, jessica jann, mike tyson, sam medina, sara malakul lane, steven swadling",action,1/26/2018,dimitri logothetis,wlgo,"well go usa, inc.",,,english,"dimitri logothetis, robert hickman",,Q1 2018,dolby srd,scope,dimitri logothetis,"4,537",0,10,10,"4,537",0,306,"3,061",10,110
neshoba: the price of freedom,nr,,,documentary,8/13/2010,"micki dickoff, tony pagano",fsr,first run,2011,,english,,,Q3 2010,,digital,,"19,245",158,1,2,"7,222",0,"4,645","4,645",1,86
retake,nr,,"devon graye, tuc watkins",drama,1/6/2017,nick corporon,ind,independent,,,english,"collin brazie, nick corporon, sean mandell",,Q1 2017,,flat,nick corporon,0,0,0,0,0,0,0,0,0,98
kirk cameron's revive us,nr,,kirk cameron,special events,10/18/2016 (tue),event director,fthm,fathom events,,,english,,,Q4 2016,,,,0,0,0,0,0,0,0,0,0,120
rock of ages,pg13,,"alec baldwin, bryan cranston, catherine zeta-jones, diego boneta, julianne hough, mary j. blige, paul giamatti, russell brand, tom cruise, will forte",musical,6/15/2012,adam shankman,wb,warner bros.,2012,,english,"adam shankman, carl levin, garrett grant, jennifer gibgot, matt weaver, scott prisand, tobey maguire","maguire entertainment, new line cinema",Q2 2012,quad,"imax, scope","allan loeb, chris d'arienzo, justin theroux","38,518,613",116,"3,470","3,470","20,763,244","5,294,141","4,161","14,437,269","3,470",123
arsenal,r,,"adrian grenier, heather johansen, john cusack, johnathon schaech, lydia hull, nicolas cage",suspense,1/6/2017,steven c. miller,lgpr,lionsgate premiere releasing,2017,,english,"george furla, randall emmett",,Q1 2017,dolby srd,scope,jason mosberg,"8,611",81,10,10,"8,611",0,555,"5,549",10,93
iceberg slim: portrait of a pimp,nr,,,documentary,07/11/2013 (thu),jorge hinojosa,phs4,phase4 films,2013,,english,"danny bresnik, jeff scheftel",,Q3 2013,dolby sr,flat,jorge hinojosa,0,47,1,1,0,0,0,0,1,90
carriers,pg13,,"chris pine, christopher meloni, emily vancamp, piper perabo","drama, suspense",9/4/2009,"alex pastor, david pastor",parvan,paramount vantage,2009,,english,"anthony bregman, ray angelic","ivy boy productions, likely story, this is that productions",Q3 2009,quad,scope,"alex pastor, david pastor","120,866",109,100,100,"104,352","20,804",717,"71,694",100,84
love the coopers,pg13,,"alan arkin, amanda seyfried, anthony mackie, diane keaton, ed helms, jake lacy, john goodman, june squibb, marisa tomei, olivia wilde","comedy, drama",11/13/2015,jessie nelson,lgf,lionsgate,2016,,english,"janice williams, jessie nelson, michael london","groundswell productions, handwritten films, imagine entertainment",Q4 2015,dolby srd,scope,steven rogers,"26,302,731",88,"2,603","2,603","10,994,225","2,824,666","3,195","8,317,545","2,603",106
blind,r,,"alec baldwin, demi moore, dylan mcdermott, frank modica, james mccaffrey, karen goeller, viva bianca","drama, romance",7/14/2017,michael mailer,vent,vertical entertainment,2017,,english,"diane fisher, jennifer gelfer, martin tuchman, michael mailer, pamela thur","ampm enterprises, michael mailer films",Q3 2017,dolby srd,digital,"diane fisher, john buffalo mailer","12,522",39,14,14,"12,522","3,640",894,"12,522",14,105
healed by grace,nr,,"mark s. esch, tommy beardmore",drama,4/20/2012,david matthew weese,ind,independent,,,english,,,Q2 2012,,,,0,0,0,0,0,0,0,0,0,0
risen (2008),nr,,"gigi erneta, jason harper, joe thackery","horror, action",11/21/2008,damon crump,quan,quantum entertainment,,,english,"damon crump, john franklin",,Q4 2008,,flat,"damon crump, david talbot",0,0,0,0,0,0,0,0,0,90
lucky bastard,nc17,,"betsy rue, catherine annette, chris wylde, don mcmanus, jay paulson, lanny joon, lee kholafai",drama,2/14/2014,robert nathan,cavu,cavu pictures,2014,,english,jim wynorski,,Q1 2014,,,"lukas kendall, robert nathan",0,137,0,0,0,0,0,0,0,94
john mellencamp: it's about you,nr,,,documentary,01/04/2012 (wed),"ian markus, kurt markus",ind,independent,2012,,english,,,Q1 2012,,,,0,153,0,0,0,0,0,0,0,79
ramona and beezus,g,,"bridget moynahan, ginnifer goodwin, hutch dano, joey king, john corbett, josh duhamel, sandra oh, selena gomez","adventure, comedy, family",7/23/2010,elizabeth allen,fox,20th century fox,2010,,english,"alison greenspan, denise di novi","dinovi pictures, walden media",Q3 2010,quad,scope,"laurie craig, nick pustay","26,167,002",109,"2,719","2,719","12,664,691","2,992,216","2,873","7,810,481","2,719",104
merchants of doubt,pg13,,"bob inglis, james hansen, naomi oreskes, patricia callahan",documentary,3/6/2015,robert kenner,spc,sony pictures classics,2015,,english,"melissa robledo, robert kenner",,Q1 2015,,,"kim roberts, robert kenner","308,156",123,4,37,"25,304",0,"4,537","18,149",4,96
annabelle: creation,r,,"alicia vela-bailey, anthony lapaglia, brian howe, miranda otto, stephanie sigman","horror, suspense",8/11/2017,david sandberg,wb,warner bros.,2017,,english,"james wan, peter safran",new line cinema,Q3 2017,,,gary dauberman,"102,092,201",74,"3,502","3,565","48,544,221","15,012,427","9,996","35,006,404","3,502",110
"philosopher kings, the",nr,,,documentary,5/21/2010,patrick shen,ind,independent,,,english,patrick shen,,Q2 2010,,,,0,0,0,0,0,0,0,0,0,0
little shop of horrors: the director cut,pg13,,"bill murray, ellen greene, james belushi, john candy, rick moranis, steve martin, vincent gardenia","musical, comedy, special events",10/29/2017 (sun),frank oz,fthm,fathom events,1987,,english,,,Q4 2017,,,,"234,753","-11,092",499,499,"234,753","234,753",470,"234,753",499,120
against the sun,pg,,"garret dillahunt, jake abel, tom felton",drama,1/23/2015,brian falk,ind,independent,2015,,english,,,Q1 2015,dolby srd,flat,,0,102,11,11,0,0,0,0,11,100
"stork's journey, a",pg,,,"animation, adventure, foreign",6/30/2017,"reza memari, toby genkel",ind,independent,2017,,english,kristine knudsen,,Q2 2017,,,reza memari,0,4,10,10,0,0,0,0,10,85
square grouper: the godfathers of ganja,r,,,documentary,04/14/2011 (thu),billy corben,mag,magnolia pictures,,,english,"alfred spellman, billy corben, lindsey snell",,Q2 2011,dolby sr,flat,,0,0,2,2,0,0,0,0,2,101
total recall (re),r,,"arnold schwarzenegger, michael ironside, sharon stone","science fiction, action, adventure",8/10/2012,paul verhoeven,rlt,rialto,1997,,english,,,Q3 2012,,,,"18,081","-5,533",1,1,"12,570",0,"5,778","5,778",1,113
"living wake, the",nr,,"ann dowd, jesse eisenberg, jim gaffigan, mike o'connell",comedy,5/14/2010,sol tryon,ind,independent,2010,,english,"ami ankin, chadwick clough, mike o'connell, peter kline, sol tryon",,Q2 2010,dolby srd,,"mike o'connell, peter kline","12,232",81,1,1,"3,821",0,"3,821","3,821",1,91
people v. the state of illusion,nr,,"j.b. tuttle, kevin mcdonald, melanie lindahl, michael mccormick, tad jones",drama,9/9/2011,scott cervine,idp/sgf,idp/samuel goldwyn films,,,english,austin vickers,,Q3 2011,dolby srd,digital,austin vickers,"46,700",0,1,1,"14,006",0,"10,178","10,178",1,86
chaos,nr,,"henry czerny, jason statham, ryan phillippe, wesley snipes","action, drama, foreign",1/4/2008,tony giglio,ind,independent,2008,,english,"gavin wilding, huw penalt jones, mark williams, michael derbas",,Q1 2008,,scope,,0,46,0,0,0,0,0,0,0,106
brand: a second coming,nr,,"david lynch, katy perry, noel gallagher, russell brand, stephen merchant","documentary, foreign",9/25/2015,ondi timoner,ind,independent,2015,,english,ondi timoner,,Q3 2015,dolby srd,flat,ondi timoner,0,81,0,0,0,0,0,0,0,105
